"X Business Group, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advasarial Insight,,,,,
Infra/Mode of Operation-> Requirement/s ,,,,,Configuration Baseline,,,Security Control Framework,,,,Compliances,,,,,,,,,,,,,,Regulatory Requirements,,,,,,,,,,Standards,,,,,,,,,,,,MITRE ATT&CK,,ISMS,,,
,Operating Systems,*Potential Security Risks,*Potential Vulnerabilities,*Education+Awareness,OS/System Hardening,CIS Benchmark,Relevant Questionaire/s,Operation ,Management,Technology,People,PCI-DSS,HIPPA,CMMC ,GDPR,CCPA,SOC 2 (SysOrgC2,ISO/IEC 27001,Cyber Essentials (UK),FERPA,GLBA,PIPEDA,FTC Sageguard Rules,SBA CSG,MITRE ATT&CK,PCI-DSS,COPPA, HIPAA  ,GDPR , CCPA ,GLBA ,FERPA ,PIPEDA ,FTC Safeguard rules ,FISMA,DFARS,ISO/IEC 27001,ISO/IEC 27002,NIST Cybersecurity Framework (CSF),NIST SP 800-53,ISO/IEC 27018,ISO/IEC 27005,CIS CSC,NIST SP 800-171,ISO/IEC 27005,ITIL,COBIT,Tactic,Technique,Policies,Procedures,Plans,Process
Internet Presence (Website and social media),"ChromeOS (Browser-based POS like Square for Chrome), Raspberry Pi OS (DIY/kiosk POS setups)",Phishing & Spoofing - Website,"Weak Authentication and Access Control - Website, Unpatched Software an Plugins - Website, Insecure File Uploads - Website, Cross-Site Scripting (XSS) -Website, Unsecured APIs - Website, Misconfigured Servers - Website, Third-Party Dependencies -  Website, SQL Injection - Website",No,N/A,No,"SAQ A, SAQ B, SAQ C","*CYBER ESS UK, *NIST CSF, ""*CIS CSC V8, .2""","CYBER Readiness Institute, HITRUST CSF, HITECH Act, HIPAA, *CMMC, SBA CSG, SECURE SB(SCORE INI), *ISO/IEC 27001, ""*CIS CSC V8, .1, .2"", *NIST CSF","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC, *PCI-DSS","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC, *PCI-DSS",NO,N/A,NO,NO,N/A,N/A,NO,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,N/A,N/A,NO,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,N/A,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Initial Access (TA0001), Defense Evasion (TA0005), Lateral Movement (TA0008), Exfiltration (TA0010)","Phishing (T1566),  T1595: Active Scanning","Acceptable Use Policy (AUP), Access Control Policy, Incident Response Policy, Remote Work Policy, Email and Communication Policy, Vendor Management Policy, Information Security Policy","Access Control Procedures, Data Protection Procedures, Incident Response Procedures",N/A,N/A
Internet Presence with VM (Cloud-Based),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POS System Cellular Data Network: No ISP Internet Footprint,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Initial Access (TA0001), Privilege Escalation (TA0004), Defense Evasion (TA0005), Command and Control (TA0011), Exfiltration (TA0010)","Phishing (T1566), T1580: Obtain Capabilities                        , T1583: Acquire Infrastructure                        ,  T1595: Active Scanning                         , T1592: Gather Victim Host Information","Acceptable Use Policy (AUP), Access Control Policy, Incident Response Policy, Remote Work Policy, Email and Communication Policy, Vendor Management Policy, Information Security Policy","Access Control Procedures, Data Protection Procedures, Incident Response Procedures",N/A,N/A
POS System Cellular Data Network:ISP Internet Footprint,ChromeOS (Browser-based POS like Square for Chrome),Phishing & Spoofing - Website,"Weak Authentication and Access Control - Website, Unpatched Software an Plugins - Website, Insecure File Uploads - Website, Cross-Site Scripting (XSS) -Website, Unsecured APIs - Website, Misconfigured Servers - Website, Third-Party Dependencies -  Website, SQL Injection - Website",No,N/A,No,"SAQ A, SAQ B, SAQ C","""MITRE ATT&CK, PCI-DSS"", *CYBER ESS UK, *NIST CSF, ""*CIS CSC V8, .2"", *CMMC, *PCI-DSS","CYBER Readiness Institute, HITRUST CSF, HITECH Act, HIPAA, *CMMC, SBA CSG, SECURE SB(SCORE INI), *ISO/IEC 27001, ""*CIS CSC V8, .1, .2"", *NIST CSF","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC, *PCI-DSS","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC, *PCI-DSS",NO,N/A,NO,NO,N/A,N/A,NO,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,,,NO,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,N/A,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Email Use without Website (Social media only),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Internet Access via ISP,ChromeOS (Browser-based POS like Square for Chrome),Phishing & Spoofing - Website,"Weak Authentication and Access Control - Website, Unpatched Software an Plugins - Website, Insecure File Uploads - Website, Cross-Site Scripting (XSS) -Website, Unsecured APIs - Website, Misconfigured Servers - Website, Third-Party Dependencies -  Website, SQL Injection - Website",No,N/A,No,"SAQ A, SAQ B, SAQ C","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC","CYBER Readiness Institute, HITRUST CSF, HITECH Act, HIPAA, *CMMC, SBA CSG, SECURE SB(SCORE INI), *ISO/IEC 27001, ""*CIS CSC V8, .1, .2"", *NIST CSF","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC, *PCI-DSS","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC, *PCI-DSS",NO,N/A,NO,NO,N/A,N/A,NO,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,,,NO,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,N/A,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Initial Access (TA0001), Discovery (TA0007), Credential Access (TA0006), Collection (TA0009)","T1592: Gather Victim Host Information                        ,  T1595: Active Scanning                         , T1583: Acquire Infrastructure                        , T1580: Obtain Capabilities                        , Phishing (T1566)","Acceptable Use Policy (AUP), Access Control Policy, Incident Response Policy, Remote Work Policy, Email and Communication Policy, Vendor Management Policy, Information Security Policy","Access Control Procedures, Data Protection Procedures, Incident Response Procedures",N/A,N/A
Internet Access Mobile Data/Hotspots,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AI application/s (ChatGpt, Grog, Copilot, Watson, Meta) ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firewall and VPN Solutions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endpoint and Device Security (EDR, MDM)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Segmentation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backup and Disaster Recovery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email Filtering and Anti-Phishing Tools,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Factor Authentication (MFA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNS Filtering and Secure DNS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cloud Security Tools (CASB, WAF)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incident Response Plan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Training on Cybersecurity Threats,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Encryption and DLP Tools,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,